DVISION_ID,CLASS_ID,BRAND_ID,PARENT_CATEGORY_ID,Web_TREE
11,1,10332,cat58760731,cat000000_cat000001_cat000019_cat000730_cat12660732_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731
11,1,10332,cat61880741,cat000000_cat000001_cat000019_cat000730_cat12660732_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61880741
11,1,10332,cat61880749,cat000000_cat000001_cat000019_cat000730_cat12660732_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61880741_cat61880749
11,1,10332,cat66020752,cat000000_cat000001_cat000019_cat000730_cat12660732_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61880741_cat61880749_cat66020752
11,1,10332,cat74120747,cat000000_cat000001_cat000019_cat000730_cat12660732_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61880741_cat61880749_cat66020752_cat74120747
11,1,10332,cat78300732,cat000000_cat000001_cat000019_cat000730_cat12660732_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61880741_cat61880749_cat66020752_cat74120747_cat78300732
11,1,10332,cat78560735,cat000000_cat000001_cat000019_cat000730_cat12660732_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61880741_cat61880749_cat66020752_cat74120747_cat78300732_cat78560735
11,1,10332,cat79490731,cat000000_cat000001_cat000019_cat000730_cat12660732_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61880741_cat61880749_cat66020752_cat74120747_cat78300732_cat78560735_cat79490731
11,1,10332,cat79630736,cat000000_cat000001_cat000019_cat000730_cat12660732_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61880741_cat61880749_cat66020752_cat74120747_cat78300732_cat78560735_cat79490731_cat79630736
11,1,10332,cat79650735,cat000000_cat000001_cat000019_cat000730_cat12660732_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61880741_cat61880749_cat66020752_cat74120747_cat78300732_cat78560735_cat79490731_cat79630736_cat79650735
11,1,10332,cat79650736,cat000000_cat000001_cat000019_cat000730_cat12660732_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61880741_cat61880749_cat66020752_cat74120747_cat78300732_cat78560735_cat79490731_cat79630736_cat79650735_cat79650736
11,1,10332,cat82440753,cat000000_cat000001_cat000019_cat000730_cat12660732_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61880741_cat61880749_cat66020752_cat74120747_cat78300732_cat78560735_cat79490731_cat79630736_cat79650735_cat79650736_cat82440753
11,1,10332,cat980731,cat000000_cat000001_cat000019_cat000730_cat12660732_cat42960827_cat46040734_cat46520736_cat46520839_cat46580776_cat48090734_cat52350772_cat56750744_cat58290731_cat58760731_cat61880741_cat61880749_cat66020752_cat74120747_cat78300732_cat78560735_cat79490731_cat79630736_cat79650735_cat79650736_cat82440753_cat980731
